text,label
"it 's just too bad the screenwriters eventually shoot themselves in the feet with cop flick cliches like an oily arms dealer , squad car pile-ups and the requisite screaming captain .",very_negative
every joke is repeated at least four times .,negative
a limp eddie murphy vehicle that even he seems embarrassed to be part of .,very_negative
"terry is a sort of geriatric dirty harry , which will please eastwood 's loyal fans -- and suits the story , wherein our hero must ride roughshod over incompetent cops to get his man .",positive
"the pacing is deadly , the narration helps little and naipaul , a juicy writer , is negated .",very_negative
the powder blues and sun-splashed whites of tunis make an alluring backdrop for this sensuous and spirited tale of a prim widow who finds an unlikely release in belly-dancing clubs .,positive
it 's impossible to indulge the fanciful daydreams of janice beard -lrb- eileen walsh -rrb- when her real-life persona is so charmless and vacant .,negative
"return to never land is reliable , standard disney animated fare , with enough creative energy and wit to entertain all ages .",very_positive
the talk-heavy film plays like one of robert altman 's lesser works .,neutral
"a mix of gritty realism , crisp storytelling and radiant compassion that effortlessly draws you in .",very_positive
it 's time to let your hair down -- greek style .,neutral
a dopey movie clothed in excess layers of hipness .,neutral
"while not quite a comedy , the film tackles its relatively serious subject with an open mind and considerable good cheer , and is never less than engaging .",neutral
"poetic , heartbreaking .",positive
cube 's charisma and chemistry compensate for corniness and cliche .,neutral
spielberg has managed to marry science fiction with film noir and action flicks with philosophical inquiry .,positive
"but kouyate elicits strong performances from his cast , and he delivers a powerful commentary on how governments lie , no matter who runs them .",positive
"-lrb- reynolds -rrb- takes a classic story , casts attractive and talented actors and uses a magnificent landscape to create a feature film that is wickedly fun to watch .",very_positive
"goldbacher draws on an elegant visual sense and a talent for easy , seductive pacing ... but she and writing partner laurence coriat do n't manage an equally assured narrative coinage .",positive
it somehow managed to make its way past my crappola radar and find a small place in my heart,neutral
routine and rather silly .,neutral
"the faithful will enjoy this sometimes wry adaptation of v.s. naipaul 's novel , but newcomers may find themselves stifling a yawn or two during the first hour .",neutral
"ryan gosling is , in a word , brilliant as the conflicted daniel .",very_positive
smothered by its own solemnity .,neutral
"the story plays out slowly , but the characters are intriguing and realistic .",positive
has a customarily jovial air but a deficit of flim-flam inventiveness .,negative
"a classy , sprightly spin on film .",very_positive
less a heartfelt appeal for the handicapped than a nice belgian waffle .,neutral
certainly the performances are worthwhile .,positive
woody allen can write and deliver a one liner as well as anybody .,very_positive
the story alone could force you to scratch a hole in your head .,negative
"there 's the plot , and a maddeningly insistent and repetitive piano score that made me want to scream .",negative
i still want my money back .,very_negative
"-lrb- it -rrb- highlights not so much the crime lord 's messianic bent , but spacey 's .",neutral
"lush and beautifully photographed -lrb- somebody suggested the stills might make a nice coffee table book -rrb- , but ultimately you 'll leave the theater wondering why these people mattered .",negative
makes 98 minutes feel like three hours .,very_negative
gorgeous to look at but insufferably tedious and turgid ... a curiously constricted epic .,negative
"sillier , cuter , and shorter than the first -lrb- as best i remember -rrb- , but still a very good time at the cinema .",very_positive
the large-format film is well suited to capture these musicians in full regalia and the incredible imax sound system lets you feel the beat down to your toes .,very_positive
"by turns fanciful , grisly and engagingly quixotic .",positive
an impressive hybrid .,very_positive
"hopkins , squarely fills the screen .",very_positive
zigzag might have been richer and more observant if it were less densely plotted .,negative
"there are flaws , but also stretches of impact and moments of awe ; we 're wrapped up in the characters , how they make their choices , and why .",positive
this is a children 's film in the truest sense .,positive
"borstal boy represents the worst kind of filmmaking , the kind that pretends to be passionate and truthful but is really frustratingly timid and soggy .",very_negative
"... once the true impact of the day unfolds , the power of this movie is undeniable .",very_positive
"a different kind of love story - one that is dark , disturbing , painful to watch , yet compelling .",neutral
